      Common Core of Data Public Education Agency Universe 1994-95
                            (LRECL=1030)
            
             (*) Fields have one implied decimal place.

	     (+) Fields represent sub-fields of the fields immediately 
	      preceding them.  

**Please Note: "FIPS" stands for Federal Information Processing Standard (see State Codes
  and Abbreviations in the General Documentation)
                                    
The file contains  data for school year 1994-95 sorted by the NCES assigned local
education agency identification code (LEAID).

Name    Type   Position       Size           Description
IAM12M94   AN  992-992          1            D/O AMER IND/ALAS NAT-12TH-MALE ADJ FLAG
IAM12F94   AN  993-993          1            D/O AMER IND/ALAS NAT-12TH-FEMALE ADJ FLAG
IAM12U94   AN  994-994          1            D/O AMER IND/ALAS NAT-12TH-UNKN ADJ FLAG
IAS12M94   AN  995-995          1            D/O ASIAN/PAC ISL-12TH-MALE ADJ FLAG
IAS12F94   AN  996-996          1            D/O ASIAN/PAC ISL-12TH-FEMALE ADJ FLAG
IAS12U94   AN  997-997          1            D/O ASIAN/PAC ISL-12TH-UNKN ADJ FLAG
IHI12M94   AN  998-998          1            D/O HISPANIC-12TH-MALE ADJ FLAG
IHI12F94   AN  999-999          1            D/O HISPANIC-12TH-FEMALE ADJ FLAG
IHI12U94   AN  1000-1000        1            D/O HISPANIC-12TH-UNKN ADJ FLAG
IBL12M94   AN  1001-1001        1            D/O BLACK-12TH-MALE ADJ FLAG
IBL12F94   AN  1002-1002        1            D/O BLACK-12TH-FEMALE ADJ FLAG
IBL12U94   AN  1003-1003        1            D/O BLACK-12TH-UNKN ADJ FLAG
IWH12M94   AN  1004-1004        1            D/O WHITE-12TH-MALE ADJ FLAG
IWH12F94   AN  1005-1005        1            D/O WHITE-12TH-FEMALE ADJ FLAG
IWH12U94   AN  1006-1006        1            D/O WHITE-12TH-UNKN ADJ FLAG
IUK12M94   AN  1007-1007        1            D/O UNKN RACE-12TH-MALE ADJ FLAG
IUK12F94   AN  1008-1008        1            D/O UNKN RACE-12TH-FEMALE ADJ FLAG
IUK12U94   AN  1009-1009        1            D/O UNKN RACE-12TH-UNKN SEX ADJ FLAG
IPKTCH94   AN  1010-1010        1            PREKINDERGARTEN TEACHERS ADJ FLAG
IKGTCH94   AN  1011-1011        1            KINDERGARTEN TEACHERS ADJ FLAG
IELTCH94   AN  1012-1012        1            ELEMENTARY TEACHERS ADJ FLAG
ISETCH94   AN  1013-1013        1            SECONDARY TEACHERS ADJ FLAG
IUGTCH94   AN  1014-1014        1            UNGRADED TEACHERS ADJ FLAG
ITOTCH94   AN  1015-1015        1            TOTAL FTE TEACHERS ADJ FLAG
IAIDES94   AN  1016-1016        1            INSTRUCTIONAL AIDES ADJ FLAG
ICOSUP94   AN  1017-1017        1            INSTRUCT COORDINATORS/SUPER ADJ FLAG
IELGUI94   AN  1018-1018        1            ELEMENTARY GUIDANCE COUNSELOR ADJ FLAG
ISEGUI94   AN  1019-1019        1            SECONDARY GUIDANCE COUNSELOR ADJ FLAG
ITOGUI94   AN  1020-1020        1            TOTAL GUIDANCE COUNSELOR ADJ FLAG
ILISPE94   AN  1021-1021        1            LIBRARIAN/MEDIA SPECIALIST ADJ FLAG
ILISUP94   AN  1022-1022        1            LIBRARY MEDIA SUPPORT STAFF ADJ FLAG
ILEADM94   AN  1023-1023        1            LEA ADMINISTRATOR ADJ FLAG
ILESUP94   AN  1024-1024        1            LEA ADMIN SUPPORT STAFF ADJ FLAG
ISCADM94   AN  1025-1025        1            SCHOOL ADMIN ADJ FLAG
ISCSUP94   AN  1026-1026        1            SCHOOL ADMIN SUPPORT STAFF ADJ FLAG
ISTSUP94   AN  1027-1027        1            STUDENT SUPPORT SERV STAFF ADJ FLAG
IOTSUP94   AN  1028-1028        1            ALL OTHER SUPPORT STAFF ADJ FLAG
ISCH94     AN  1029-1029        1            NUMBER OF SCHOOLS ADJ FLAG
ITEACH94   AN  1030-1030        1            NUMBER OF TEACHERS ADJ FLAG

