        Common Core of Data Public Education Agency Universe 1996-97
                             (LRECL=1030)

             (*) Fields have one implied decimal place.

	     (+) Fields represent sub-fields of the fields immediately 
	      preceding them.  
          
**Please Note: "FIPS" stands for Federal Information Processing Standard (see State Codes
  and Abbreviations in the General Documentation)   
                                  
The file contains  data for school year 1996-97 sorted by the NCES assigned local
education agency identification code (LEAID).

Variable     Field	Record	     Data
 name	     length	position     type	Description

ELMTCH96	7*	776-782		N	ELEMENTARY TEACHERS
SECTCH96	7*	783-789		N	SECONDARY TEACHERS
UGTCH96		7*	790-796		N	TEACHERS OF UNGRADED CLASSES
TOTTCH96	7*	797-803		N	TOTAL FTE TEACHERS
AIDES96		7*	804-810		N	INSTRUCTIONAL AIDES
CORSUP96	7*	811-817		N	INSTRUCTIONAL COORDINATORS/SUPERVISORS
ELMGUI96	7*	818-824		N	ELEMENTARY GUIDANCE COUNSELORS
SECGUI96	7*	825-831		N	SECONDARY GUIDANCE COUNSELORS
TOTGUI96	7*	832-838		N	TOTAL GUIDANCE
LIBSPE96	7*	839-845		N	LIBRARIANS/MEDIA SPECIALISTS
LIBSUP96	7*	846-852		N	LIBRARY MEDIA SUPPORT STAFF
LEAADM96	7*	853-859		N	LEA ADMINISTRATORS
LEASUP96	7*	860-866		N	LEA ADMINISTRATORS SUPPORT STAFF
SCHADM96	7*	867-873		N	SCHOOL ADMINISTRATORS
SCHSUP96	7*	874-880		N	SCHOOL ADMINISTRATORS SUPPORT STAFF
STUSUP96	7*	881-887		N	STUDENT SUPPORT SERVICES STAFF
OTHSUP96	7*	888-894		N	ALL OTHER SUPPORT STAFF
IUG96		1	895-895		A	UNGRADED STUDENTS ADJ FLAG
IPK1296		1	896-896		A	PK THRU 12 ADJ FLAG
IMEMB96		1	897-897		A	STUDENTS ADJ FLAG
ISPEC96		1	898-898		A	SPECIAL ED IEP STUDENTS ADJ FLAG
IREGD96		1	899-899		A	REGULAR GRADUATES ADJ FLAG
IOTHD96		1	900-900		A	OTHER DIPLOMA GRADUATES ADJ FLAG
IOTHC96		1	901-901		A	OTHER HS COMPLETERS ADJ FLAG
IAM7M96		1	902-902		A	D/O AMER IND/ALAS NAT-7TH-MALE ADJ FLAG
IAM7F96		1	903-903		A	D/O AMER IND/ALAS NAT-7TH-FEM ADJ FLAG
IAM7U96		1	904-904		A	D/O AMER IND/ALAS NAT-7TH-UNKN ADJ FLAG
IAS7M96		1	905-905		A	D/O ASIAN/PAC ISL-7TH-MALE ADJ FLAG
IAS7F96		1	906-906		A	D/O ASIAN/PAC ISL-7TH-FEM ADJ FLAG
IAS7U96		1	907-907		A	D/O ASIAN/PAC ISL-7TH-UNKN ADJ FLAG
IHI7M96		1	908-908		A	D/O HISPANIC-7TH-MALE ADJ FLAG
IHI7F96		1	909-909		A	D/O HISPANIC-7TH-FEM ADJ FLAG
IHI7U96		1	910-910		A	D/O HISPANIC-7TH-UNKN ADJ FLAG
IBL7M96		1	911-911		A	D/O BLACK-7TH-MALE ADJ FLAG
IBL7F96		1	912-912		A	D/O BLACK-7TH-FEM ADJ FLAG
IBL7U96		1	913-913		A	D/O BLACK-7TH-UNKN ADJ FLAG
IWH7M96		1	914-914		A	D/O WHITE-7TH-MALE ADJ FLAG
IWH7F96		1	915-915		A	D/O WHITE-7TH-FEM ADJ FLAG
IWH7U96		1	916-916		A	D/O WHITE-7TH-UNKN ADJ FLAG
IUK7M96		1	917-917		A	D/O UNKN RACE-7TH-MALE ADJ FLAG
IUK7F96		1	918-918		A	D/O UNKN RACE-7TH-FEM ADJ FLAG
IUK7U96		1	919-919		A	D/O UNKN RACE-7TH-UNKN SEX ADJ FLAG
IAM8M96		1	920-920		A	D/O AMER IND/ALAS NAT-8TH-MALE ADJ FLAG
IAM8F96		1	921-921		A	D/O AMER IND/ALAS NAT-8TH-FEM ADJ FLAG
IAM8U96		1	922-922		A	D/O AMER IND/ALAS NAT-8TH-UNKN ADJ FLAG
IAS8M96		1	923-923		A	D/O ASIAN/PAC ISL-8TH-MALE ADJ FLAG
IAS8F96		1	924-924		A	D/O ASIAN/PAC ISL-8TH-FEM ADJ FLAG
IAS8U96		1	925-925		A	D/O ASIAN/PAC ISL-8TH-UNKN ADJ FLAG
IHI8M96		1	926-926		A	D/O HISPANIC-8TH-MALE ADJ FLAG
IHI8F96		1	927-927		A	D/O HISPANIC-8TH-FEM ADJ FLAG
IHI8U96		1	928-928		A	D/O HISPANIC-8TH-UNKN ADJ FLAG
IBL8M96		1	929-929		A	D/O BLACK-8TH-MALE ADJ FLAG
IBL8F96		1	930-930		A	D/O BLACK-8TH-FEM ADJ FLAG
IBL8U96		1	931-931		A	D/O BLACK-8TH-UNKN ADJ FLAG
IWH8M96		1	932-932		A	D/O WHITE-8TH-MALE ADJ FLAG
IWH8F96		1	933-933		A	D/O WHITE-8TH-FEM ADJ FLAG
IWH8U96		1	934-934		A	D/O WHITE-8TH-UNKN ADJ FLAG
IUK8M96		1	935-935		A	D/O UNKN RACE-8TH-MALE ADJ FLAG
IUK8F96		1	936-936		A	D/O UNKN RACE-8TH-FEM ADJ FLAG
IUK8U96		1	937-937		A	D/O UNKN RACE-8TH-SEX UNKN ADJ FLAG
IAM9M96		1	938-938		A	D/O AMER IND/ALAS NAT-9TH-MALE ADJ FLAG
IAM9F96		1	939-939		A	D/O AMER IND/ALAS NAT-9TH-FEM ADJ FLAG
IAM9U96		1	940-940		A	D/O AMER IND/ALAS NAT-9TH-UNKN ADJ FLAG
IAS9M96		1	941-941		A	D/O ASIAN/PAC ISL-9TH-MALE ADJ FLAG
IAS9F96		1	942-942		A	D/O ASIAN/PAC ISL-9TH-FEM ADJ FLAG
IAS9U96		1	943-943		A	D/O ASIAN/PAC ISL-9TH-UNKN ADJ FLAG
IHI9M96		1	944-944		A	D/O HISPANIC-9TH-MALE ADJ FLAG
IHI9F96		1	945-945		A	D/O HISPANIC-9TH-FEM ADJ FLAG
IHI9U96		1	946-946		A	D/O HISPANIC-9TH-UNKN ADJ FLAG
IBL9M96		1	947-947		A	D/O BLACK-9TH-MALE ADJ FLAG
IBL9F96		1	948-948		A	D/O BLACK-9TH-FEM ADJ FLAG
IBL9U96		1	949-949		A	D/O BLACK-9TH-UNKN ADJ FLAG
IWH9M96		1	950-950		A	D/O WHITE-9TH-MALE ADJ FLAG
IWH9F96		1	951-951		A	D/O WHITE-9TH-FEM ADJ FLAG
IWH9U96		1	952-952		A	D/O WHITE-9TH-UNKN ADJ FLAG
IUK9M96		1	953-953		A	D/O UNKN RACE-9TH-MALE ADJ FLAG
IUK9F96		1	954-954		A	D/O UNKN RACE-9TH-FEM ADJ FLAG
IUK9U96		1	955-955		A	D/O UNKN RACE-9TH-UNKN SEX ADJ FLAG
IAM10M96	1	956-956		A	D/O AMER IND/ALAS NAT-10TH-MALE ADJ FLAG
IAM10F96	1	957-957		A	D/O AMER IND/ALAS NAT-10TH-FEM ADJ FLAG
IAM10U96	1	958-958		A	D/O AMER IND/ALAS NAT-10TH-UNKN ADJ FLAG
IAS10M96	1	959-959		A	D/O ASIAN/PAC ISL-10TH-MALE ADJ FLAG
IAS10F96	1	960-960		A	D/O ASIAN/PAC ISL-10TH-FEM ADJ FLAG
IAS10U96	1	961-961		A	D/O ASIAN/PAC ISL-10TH-UNKN ADJ FLAG
IHI10M96	1	962-962		A	D/O HISPANIC-10TH-MALE ADJ FLAG
IHI10F96	1	963-963		A	D/O HISPANIC-10TH-FEM ADJ FLAG
IHI10U96	1	964-964		A	D/O HISPANIC-10TH-UNKN ADJ FLAG
IBL10M96	1	965-965		A	D/O BLACK-10TH-MALE ADJ FLAG
IBL10F96	1	966-966		A	D/O BLACK-10TH-FEM ADJ FLAG
IBL10U96	1	967-967		A	D/O BLACK-10TH-UNKN ADJ FLAG
IWH10M96	1	968-968		A	D/O WHITE-10TH-MALE ADJ FLAG
IWH10F96	1	969-969		A	D/O WHITE-10TH-FEM ADJ FLAG
IWH10U96	1	970-970		A	D/O WHITE-10TH-UNKN ADJ FLAG
IUK10M96	1	971-971		A	D/O UNKN RACE-10TH-MALE ADJ FLAG
IUK10F96	1	972-972		A	D/O UNKN RACE-10TH-FEM ADJ FLAG
IUK10U96	1	973-973		A	D/O UNKN RACE-10TH-UNKN SEX ADJ FLAG
IAM11M96	1	974-974		A	D/O AMER IND/ALAS NAT-11TH-MALE ADJ FLAG
IAM11F96	1	975-975		A	D/O AMER IND/ALAS NAT-11TH-FEM ADJ FLAG
IAM11U96	1	976-976		A	D/O AMER IND/ALAS NAT-11TH-UNKN ADJ FLAG
IAS11M96	1	977-977		A	D/O ASIAN/PAC ISL-11TH-MALE ADJ FLAG
IAS11F96	1	978-978		A	D/O ASIAN/PAC ISL-11TH-FEM ADJ FLAG
IAS11U96	1	979-979		A	D/O ASIAN/PAC ISL-11TH-UNKN ADJ FLAG
IHI11M96	1	980-980		A	D/O HISPANIC-11TH-MALE ADJ FLAG
IHI11F96	1	981-981		A	D/O HISPANIC-11TH-FEM ADJ FLAG
IHI11U96	1	982-982		A	D/O HISPANIC-11TH-UNKN ADJ FLAG
IBL11M96	1	983-983		A	D/O BLACK-11TH-MALE ADJ FLAG
IBL11F96	1	984-984		A	D/O BLACK-11TH-FEM ADJ FLAG
IBL11U96	1	985-985		A	D/O BLACK-11TH-UNKN ADJ FLAG
IWH11M96	1	986-986		A	D/O WHITE-11TH-MALE ADJ FLAG
IWH11F96	1	987-987		A	D/O WHITE-11TH-FEM ADJ FLAG
IWH11U96	1	988-988		A	D/O WHITE-11TH-UNKN ADJ FLAG
IUK11M96	1	989-989		A	D/O UNKN RACE-11TH-MALE ADJ FLAG
IUK11F96	1	990-990		A	D/O UNKN RACE-11TH-FEM ADJ FLAG
IUK11U96	1	991-991		A	D/O UNKN RACE-11TH-UNKN SEX ADJ FLAG
IAM12M96	1	992-992		A	D/O AMER IND/ALAS NAT-12TH-MALE ADJ FLAG
IAM12F96	1	993-993		A	D/O AMER IND/ALAS NAT-12TH-FEM ADJ FLAG
IAM12U96	1	994-994		A	D/O AMER IND/ALAS NAT-12TH-UNKN ADJ FLAG
IAS12M96	1	995-995		A	D/O ASIAN/PAC ISL-12TH-MALE ADJ FLAG
IAS12F96	1	996-996		A	D/O ASIAN/PAC ISL-12TH-FEM ADJ FLAG
IAS12U96	1	997-997		A	D/O ASIAN/PAC ISL-12TH-UNKN ADJ FLAG
IHI12M96	1	998-998		A	D/O HISPANIC-12TH-MALE ADJ FLAG
IHI12F96	1	999-999		A	D/O HISPANIC-12TH-FEM ADJ FLAG
IHI12U96	1	1000-1000	A	D/O HISPANIC-12TH-UNKN ADJ FLAG
IBL12M96	1	1001-1001	A	D/O BLACK-12TH-MALE ADJ FLAG
IBL12F96	1	1002-1002	A	D/O BLACK-12TH-FEM ADJ FLAG
IBL12U96	1	1003-1003	A	D/O BLACK-12TH-UNKN ADJ FLAG
IWH12M96	1	1004-1004	A	D/O WHITE-12TH-MALE ADJ FLAG
IWH12F96	1	1005-1005	A	D/O WHITE-12TH-FEM ADJ FLAG
IWH12U96	1	1006-1006	A	D/O WHITE-12TH-UNKN ADJ FLAG
IUK12M96	1	1007-1007	A	D/O UNKN RACE-12TH-MALE ADJ FLAG
IUK12F96	1	1008-1008	A	D/O UNKN RACE-12TH-FEM ADJ FLAG
IUK12U96	1	1009-1009	A	D/O UNKN RACE-12TH-UNKN SEX ADJ FLAG
IPKTCH96	1	1010-1010	A	PREKINDERGARTEN TEACHERS ADJ FLAG
IKGTCH96	1	1011-1011	A	KINDERGARTEN TEACHERS ADJ FLAG
IELTCH96	1	1012-1012	A	ELEMENTARY TEACHERS ADJ FLAG
ISETCH96	1	1013-1013	A	SECONDARY TEACHERS ADJ FLAG
IUGTCH96	1	1014-1014	A	UNGRADED TEACHERS ADJ FLAG
ITOTCH96	1	1015-1015	A	TOTAL FTE TEACHERS ADJ FLAG
IAIDES96	1	1016-1016	A	INSTRUCTIONAL AIDES ADJ FLAG
ICOSUP96	1	1017-1017	A	INSTRUCT COORDINATORS/SUPER ADJ FLAG
IELGUI96	1	1018-1018	A	ELEMENTARY GUIDANCE COUNSELOR ADJ FLAG
ISEGUI96	1	1019-1019	A	SECONDARY GUIDANCE COUNSELOR ADJ FLAG
ITOGUI96	1	1020-1020	A	TOTAL GUIDANCE COUNSELOR ADJ FLAG
ILISPE96	1	1021-1021	A	LIBRARIAN/MEDIA SPECIALIST ADJ FLAG
ILISUP96	1	1022-1022	A	LIBRARY MEDIA SUPPORT STAFF ADJ FLAG
ILEADM96	1	1023-1023	A	LEA ADMINISTRATOR ADJ FLAG
ILESUP96	1	1024-1024	A	LEA ADMIN SUPPORT STAFF ADJ FLAG
ISCADM96	1	1025-1025	A	SCHOOL ADMIN ADJ FLAG
ISCSUP96	1	1026-1026	A	SCHOOL ADMIN SUPPORT STAFF ADJ FLAG
ISTSUP96	1	1027-1027	A	STUDENT SUPPORT SERV STAFF ADJ FLAG
IOTSUP96	1	1028-1028	A	ALL OTHER SUPPORT STAFF ADJ FLAG
ISCH96		1	1029-1029	A	NUMBER OF SCHOOLS ADJ FLAG
ITEACH96	1	1030-1030	A	NUMBER OF TEACHERS ADJ FLAG
				



