      Common Core of Data Public Education Agency Universe 1992-93
                            (LRECL=1030)
            
	     (*) Fields have one implied decimal place.

	     (+) Fields represent sub-fields of the fields immediately 
	      preceding them.  
          
**Please Note: "FIPS" stands for Federal Information Processing Standard (see State Codes
  and Abbreviations in the General Documentation) 
                                    
The file contains  data for school year 1992-93 sorted by the NCES assigned local
education agency identification code (LEAID).

Name    Type   Position       Size          Description
IHI9F92    AN  945-945          1            D/O HISPANIC-9TH-FEMALE ADJ FLAG
IHI9U92    AN  946-946          1            D/O HISPANIC-9TH-UNKN ADJ FLAG
IBL9M92    AN  947-947          1            D/O BLACK-9TH-MALE ADJ FLAG
IBL9F92    AN  948-948          1            D/O BLACK-9TH-FEMALE ADJ FLAG
IBL9U92    AN  949-949          1            D/O BLACK-9TH-UNKN ADJ FLAG
IWH9M92    AN  950-950          1            D/O WHITE-9TH-MALE ADJ FLAG
IWH9F92    AN  951-951          1            D/O WHITE-9TH-FEMALE ADJ FLAG
IWH9U92    AN  952-952          1            D/O WHITE-9TH-UNKN ADJ FLAG
IUK9M92    AN  953-953          1            D/O UNKN RACE-9TH-MALE ADJ FLAG
IUK9F92    AN  954-954          1            D/O UNKN RACE-9TH-FEMALE ADJ FLAG
IUK9U92    AN  955-955          1            D/O UNKN RACE-9TH-UNKN SEX ADJ FLAG
IAM10M92   AN  956-956          1            D/O AMER IND/ALAS NAT-10TH-MALE ADJ FLAG
IAM10F92   AN  957-957          1            D/O AMER IND/ALAS NAT-10TH-FEMALE ADJ FLAG
IAM10U92   AN  958-958          1            D/O AMER IND/ALAS NAT-10TH-UNKN ADJ FLAG
IAS10M92   AN  959-959          1            D/O ASIAN/PAC ISL-10TH-MALE ADJ FLAG
IAS10F92   AN  960-960          1            D/O ASIAN/PAC ISL-10TH-FEMALE ADJ FLAG
IAS10U92   AN  961-961          1            D/O ASIAN/PAC ISL-10TH-UNKN ADJ FLAG
IHI10M92   AN  962-962          1            D/O HISPANIC-10TH-MALE ADJ FLAG
IHI10F92   AN  963-963          1            D/O HISPANIC-10TH-FEMALE ADJ FLAG
IHI10U92   AN  964-964          1            D/O HISPANIC-10TH-UNKN ADJ FLAG
IBL10M92   AN  965-965          1            D/O BLACK-10TH-MALE ADJ FLAG
IBL10F92   AN  966-966          1            D/O BLACK-10TH-FEMALE ADJ FLAG
IBL10U92   AN  967-967          1            D/O BLACK-10TH-UNKN ADJ FLAG
IWH10M92   AN  968-968          1            D/O WHITE-10TH-MALE ADJ FLAG
IWH10F92   AN  969-969          1            D/O WHITE-10TH-FEMALE ADJ FLAG
IWH10U92   AN  970-970          1            D/O WHITE-10TH-UNKN ADJ FLAG
IUK10M92   AN  971-971          1            D/O UNKN RACE-10TH-MALE ADJ FLAG
IUK10F92   AN  972-972          1            D/O UNKN RACE-10TH-FEMALE ADJ FLAG
