"LEAID","NCESSCH","TR10","AM10","AS10","BL10","HI10","oth10","WH10","TR11","AM11","AS11","BL11","HI11","oth11","WH11","TR12","AM12","AS12","BL12","HI12","oth12","WH12","TR09","AM09","AS09","BL09","HI09","oth09","WH09","HP10","HP11","HP12","HP09","total_g10","total_g11","total_g12","total_g9","total_enroll","FRELCH","REDLCH","TOTFRL","lunch_total"
"4816230","481623001205",0,2,19,83,423,558,31,2,3,16,54,346,444,23,4,1,7,39,328,401,22,4,1,6,78,520,637,28,0,0,0,0,1116,888,802,1274,4080,1764,61,1825,1825
"4816230","481623001206",0,0,0,18,386,405,1,0,2,0,5,363,371,1,0,1,2,7,283,295,2,0,0,1,10,396,409,2,0,0,0,0,810,742,590,818,2960,1340,33,1373,1373
"4816230","481623001225",0,0,5,22,95,123,1,3,1,3,30,98,137,1,0,1,2,17,95,117,2,2,0,3,28,90,129,5,0,1,0,1,246,274,234,258,1012,385,29,414,414
"4816230","481623001229",0,0,0,203,81,286,2,1,1,0,187,62,253,2,0,0,1,138,53,192,0,0,2,1,285,109,411,14,0,0,0,0,572,506,384,822,2284,818,20,838,838
"4816230","481623001242",2,0,3,58,72,243,107,8,1,11,49,57,230,104,4,0,0,33,49,214,128,3,0,9,51,75,242,103,1,0,0,1,486,460,428,484,1858,203,22,225,225
"4816230","481623001273",1,1,6,23,114,148,3,0,0,1,32,92,134,7,0,1,4,26,100,135,4,2,0,5,23,100,132,2,0,2,0,0,296,268,270,264,1098,442,35,477,477
"4816230","481623001277",1,0,3,42,215,278,17,1,0,6,55,186,275,27,3,0,2,44,145,217,23,1,3,3,35,271,327,14,0,0,0,0,556,550,434,654,2194,855,16,871,871
"4816230","481623001289",0,1,1,19,444,468,2,0,0,0,12,382,398,3,1,0,2,10,266,281,2,3,2,0,16,530,555,4,1,1,0,0,936,796,562,1110,3404,1366,33,1399,1399
"4816230","481623001295",0,3,3,117,293,418,2,2,0,1,95,213,317,5,0,0,0,100,168,271,2,0,2,0,139,353,499,5,0,1,1,0,836,634,542,998,3010,1140,41,1181,1181
"4816230","481623001304",1,1,0,104,37,143,0,0,0,0,104,27,131,0,0,0,0,78,16,95,0,0,0,0,139,37,176,0,0,0,1,0,286,262,190,352,1090,497,11,508,508
"4816230","481623001311",1,0,0,70,34,107,2,0,0,0,64,32,97,1,0,0,0,60,25,86,1,1,0,0,121,65,189,2,0,0,0,0,214,194,172,378,958,456,7,463,463
"4816230","481623001324",0,2,14,60,226,308,6,2,2,8,33,181,230,4,0,0,7,27,147,184,3,1,3,5,62,261,338,6,0,0,0,0,616,460,368,676,2120,977,20,997,997
"4816230","481623001331",0,3,0,66,167,241,5,0,1,1,35,152,189,0,0,0,1,47,121,170,1,0,0,0,99,276,378,3,0,0,0,0,482,378,340,756,1956,872,28,900,900
"4816230","481623001343",1,1,0,85,86,175,2,0,1,0,58,75,134,0,0,1,0,41,50,92,0,1,0,0,114,135,252,2,0,0,0,0,350,268,184,504,1306,610,7,617,617
"4816230","481623001352",0,1,0,75,229,348,43,1,1,0,71,208,330,49,4,1,2,50,156,253,40,4,1,0,90,298,459,64,0,0,0,2,696,660,506,918,2780,1241,36,1277,1277
"4816230","481623001357",6,4,5,297,877,1200,11,4,3,4,216,754,995,10,1,3,4,235,748,1005,9,5,4,6,328,977,1334,12,0,4,5,2,2400,1990,2010,2668,9068,3866,134,4000,4000
"4816230","481623001358",0,1,1,233,108,344,1,0,1,1,210,72,284,0,1,0,0,190,54,245,0,2,0,3,263,141,414,5,0,0,0,0,688,568,490,828,2574,982,19,1001,1001
"4816230","481623001360",1,2,0,97,409,521,12,2,0,0,70,291,372,9,0,0,0,47,208,258,3,1,1,0,126,480,616,8,0,0,0,0,1042,744,516,1232,3534,1521,42,1563,1563
"4816230","481623001367",1,2,1,5,508,524,7,2,1,0,8,484,500,4,0,0,1,7,427,440,5,0,2,0,6,488,502,6,0,1,0,0,1048,1000,880,1004,3932,1802,85,1887,1887
"4816230","481623001379",1,2,2,97,400,506,3,0,0,0,85,321,413,7,2,1,1,85,241,334,3,0,1,1,115,492,618,8,1,0,1,1,1012,826,668,1236,3742,1804,24,1828,1828
"4816230","481623001383",7,2,3,65,535,661,49,6,1,13,64,370,485,30,7,2,13,42,327,449,57,4,1,10,66,552,666,33,0,1,1,0,1322,970,898,1332,4522,1732,78,1810,1810
"4816230","481623001387",7,0,3,41,321,509,137,5,2,2,33,285,441,114,5,0,2,23,218,338,89,8,6,4,39,328,512,127,0,0,1,0,1018,882,676,1024,3600,1011,42,1053,1053
"4816230","481623003641",1,1,14,14,72,117,15,2,2,21,7,58,102,11,1,3,6,14,66,106,16,2,1,10,12,53,93,15,0,1,0,0,234,204,212,186,836,257,24,281,281
