"LEAID","NCESSCH","TYPE99","STATUS99","FTE99","FRELCH99","REDLCH99","TOTFRL99","MIGRNT99","MEMBER99","G0999","G1099","G1199","G1299","ASIAN99","HISP99","BLACK99","WHITE99","TOTETH99","PUPTCH99","LOCALE","AM09","AS09","HI09","BL09","WH09","AM10","AS10","HI10","BL10","WH10","AM11","AS11","HI11","BL11","WH11","AM12","AS12","HI12","BL12","WH12"
"3620580","362058001911","3","1",93.4,775,0,775,NA,1751,430,531,455,244,119,844,514,271,1751,18.7,"1",1,28,176,118,107,0,37,276,141,77,0,32,215,162,46,2,22,119,72,29
"3620580","362058001912","1","1",87.2,259,0,259,NA,1967,851,520,311,174,40,159,1745,13,1967,22.6,"1",2,14,78,748,9,2,12,42,462,2,3,7,27,274,0,2,7,9,155,1
"3620580","362058001913","3","1",47,787,0,787,NA,934,374,170,191,106,13,331,568,20,934,19.9,"1",2,8,116,242,6,0,1,58,103,8,0,1,79,108,3,0,2,40,63,1
"3620580","362058001915","3","1",112.5,1011,0,1011,NA,2022,642,494,284,490,278,1138,337,263,2022,18,"1",1,91,363,114,73,1,61,302,77,53,3,45,164,39,33,1,76,241,80,92
"3620580","362058001916","1","1",71.2,530,0,530,NA,1260,251,262,295,307,97,755,213,195,1260,17.7,"1",0,22,143,38,48,0,37,137,35,53,0,15,187,56,37,0,18,196,51,42
"3620580","362058001917","1","1",127,630,0,630,NA,2707,610,910,602,460,834,555,693,621,2707,21.3,"1",0,122,144,237,107,0,299,192,201,218,1,219,97,124,161,1,185,84,89,101
"3620580","362058001918","1","1",94.4,1338,0,1338,NA,1882,757,490,293,174,56,498,1011,310,1882,19.9,"1",2,25,202,401,127,2,12,131,277,68,2,9,85,139,58,0,7,41,90,36
"3620580","362058001919","1","1",186.9,557,0,557,NA,4213,790,1314,1003,978,1520,433,741,1512,4213,22.5,"1",0,270,82,171,267,4,424,147,278,461,0,419,98,127,359,2,394,81,113,388
"3620580","362058001921","1","1",155.7,1962,0,1962,NA,3544,949,1203,735,410,15,242,3259,16,3544,22.8,"1",3,7,59,875,5,2,2,90,1102,7,3,3,53,673,3,1,2,27,380,0
"3620580","362058001922","1","1",127.4,530,0,530,NA,2717,699,750,659,609,1243,255,243,967,2717,21.3,"1",1,341,68,50,239,2,336,70,79,263,2,280,66,46,265,4,286,51,68,200
"3620580","362058001923","1","1",67,341,25,366,NA,440,NA,NA,NA,NA,11,221,177,31,440,6.6,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3620580","362058001926","1","1",78,250,10,260,NA,278,NA,NA,NA,NA,21,66,128,60,278,3.6,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3620580","362058001927","1","1",64.1,334,13,347,NA,365,NA,NA,NA,NA,16,68,195,84,365,5.7,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3620580","362058001928","1","1",194.3,1061,0,1061,NA,4168,1264,1077,936,891,1632,551,986,994,4168,21.5,"1",2,502,155,261,344,0,424,150,262,241,2,346,125,247,216,1,360,121,216,193
"3620580","362058001929","1","1",58.7,1375,0,1375,NA,1922,833,523,165,157,27,1442,444,9,1922,32.7,"1",0,14,584,232,3,0,4,406,110,3,0,6,131,28,0,0,3,123,29,2
