"LEAID","NCESSCH","TYPE01","STATUS01","FTE01","LEVEL01","FRELCH01","REDLCH01","TOTFRL01","MIGRNT01","MEMBER01","G0901","G1001","G1101","G1201","ASIAN01","HISP01","BLACK01","WHITE01","TOTETH01","PUPTCH01","LOCALE","AM09","AS09","HI09","BL09","WH09","AM10","AS10","HI10","BL10","WH10","AM11","AS11","HI11","BL11","WH11","AM12","AS12","HI12","BL12","WH12"
"0634320","063432002688","1","1",86,"3",233,107,340,0,1997,505,511,475,487,597,172,105,1117,1997,23.2,"1",1,126,43,17,318,1,146,52,27,285,2,148,39,26,260,2,173,35,30,247
"0634320","063432003939","4","1",33,"3",648,0,648,0,1343,236,354,422,246,166,408,229,519,1343,40.7,"1",2,26,86,37,85,6,38,110,62,138,6,56,141,70,149,6,41,50,45,104
"0634320","063432005434","1","1",58.6,"3",514,108,622,0,1368,433,352,328,244,75,590,60,625,1368,23.3,"1",6,24,198,19,186,4,21,161,11,155,6,16,122,20,164,2,14,107,9,112
"0634320","063432005438","1","1",78.4,"3",1324,114,1438,0,1679,611,409,338,297,472,606,469,125,1679,21.4,"1",3,139,240,190,39,1,101,157,117,33,2,105,119,89,23,1,122,80,67,27
"0634320","063432005468","4","1",28.7,"3",234,17,251,0,566,74,150,177,161,29,308,105,120,566,19.7,"1",0,0,35,16,23,1,8,90,31,20,2,11,97,32,35,1,10,83,25,42
"0634320","063432005479","1","1",96.7,"3",535,158,693,3,2223,654,540,526,491,196,581,214,1214,2223,23,"1",7,52,200,72,323,4,50,148,57,281,2,50,124,48,302,5,44,109,37,296
"0634320","063432005482","1","1",95.7,"3",1936,223,2159,2,2224,817,543,506,338,351,1347,400,117,2224,23.2,"1",3,95,542,138,39,4,85,344,85,25,1,90,288,95,32,1,79,163,75,20
"0634320","063432005487","1","1",19,"4",148,65,213,0,308,33,20,14,13,25,132,78,61,308,16.2,"1",3,2,9,8,11,0,1,11,3,5,0,2,7,4,1,0,1,7,2,3
"0634320","063432005491","1","1",76.1,"3",981,195,1176,3,1670,461,441,408,337,456,531,359,315,1670,21.9,"1",2,122,167,88,82,2,114,146,101,78,2,115,115,95,81,3,101,97,72,64
"0634320","063432005496","1","1",64,"3",226,69,295,0,1611,396,421,420,370,167,346,20,1071,1611,25.2,"1",3,36,105,3,249,2,46,97,3,273,2,48,79,11,280,0,36,65,3,266
"0634320","063432005500","1","1",42.4,"3",517,72,589,1,755,190,183,206,168,62,189,487,15,755,17.8,"1",1,17,54,117,1,0,12,57,108,6,0,16,46,139,5,1,14,29,121,3
"0634320","063432005509","1","1",70.9,"3",665,167,832,0,1428,422,360,357,262,209,569,167,467,1428,20.1,"1",1,53,189,51,128,6,51,144,54,105,4,60,136,35,122,5,41,91,26,99
"0634320","063432005520","1","1",99.6,"3",509,246,755,0,2478,667,657,668,472,1323,240,168,740,2478,24.9,"1",3,350,67,50,197,0,335,71,54,197,2,354,72,35,205,2,278,28,29,135
"0634320","063432005522","1","1",67,"3",744,186,930,0,1570,435,415,358,344,249,667,195,443,1570,23.4,"1",5,44,208,57,121,5,57,181,52,120,2,75,139,39,103,4,72,135,44,89
"0634320","063432005526","1","1",127.3,"3",980,443,1423,0,2895,505,856,834,675,1497,680,526,186,2895,22.7,"1",0,201,142,135,27,0,453,215,138,50,1,427,214,143,49,5,410,100,103,57
"0634320","063432005537","1","1",81.6,"3",596,159,755,0,1885,596,489,421,379,86,711,130,943,1885,23.1,"1",2,27,248,40,279,5,20,181,44,239,5,21,145,24,226,3,18,137,22,199
"0634320","063432005539","2","1",16,"4",69,11,80,0,111,26,0,0,0,6,17,59,29,111,6.9,"1",0,3,2,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0634320","063432005544","1","1",93.6,"3",1199,183,1382,9,2123,107,795,761,436,76,1394,293,350,2123,22.7,"1",0,8,31,23,45,7,26,562,113,87,2,21,507,100,131,1,21,277,54,83
"0634320","063432005549","1","1",86.3,"3",545,276,821,0,1927,546,546,454,370,440,474,310,684,1927,22.3,"1",7,91,142,100,206,5,147,142,83,169,4,96,118,74,162,3,104,70,53,140
"0634320","063432005562","4","1",35.6,"3",341,40,381,0,540,130,134,117,80,56,248,102,130,540,15.2,"1",0,10,67,31,22,1,16,56,25,36,1,15,49,21,31,1,10,31,12,26
"0634320","063432007314","2","1",8,"3",0,0,0,0,272,23,19,18,35,35,90,68,77,272,34,"1",0,1,8,7,7,0,1,8,7,3,0,3,4,7,4,0,3,10,9,13
"0634320","063432007682","4","1",12,"4",88,9,97,0,239,58,41,28,25,16,140,63,20,239,19.9,"1",0,2,38,12,6,0,2,27,8,4,0,3,15,6,4,0,1,14,10,0
"0634320","063432007837","4","1",7.7,"4",8,4,12,0,367,46,48,30,16,26,103,62,172,367,47.7,"1",0,3,17,11,15,1,6,18,8,15,0,2,12,2,14,1,0,2,2,11
"0634320","063432007838","1","1",69.8,"3",388,150,538,0,1771,515,509,377,360,381,370,180,825,1771,25.4,"1",5,101,119,62,228,2,130,108,54,215,3,74,77,35,188,5,74,63,28,190
"0634320","063432008599","1","1",17.2,"3",35,27,62,0,279,101,140,37,1,51,48,42,134,279,16.2,"1",1,14,15,18,53,2,30,29,20,59,1,7,4,4,21,0,0,0,0,1
"0634320","063432008600","1","1",6,"3",21,2,23,0,73,23,20,17,13,3,18,17,35,73,12.2,"1",0,0,10,5,8,0,1,6,4,9,0,1,1,4,11,0,1,1,4,7
"0634320","063432008961","1","1",91.2,"3",1254,103,1357,1,1770,444,222,147,97,213,882,619,55,1770,19.4,"1",0,42,242,152,8,1,26,118,70,7,0,19,67,55,6,0,25,44,21,7
"0634320","063432008962","1","1",68,"4",400,170,570,0,1483,222,219,189,179,161,292,438,582,1483,21.8,"1",2,24,33,69,94,0,18,53,58,90,0,22,39,61,67,2,13,27,68,69
"0634320","063432009437","4","1",12.3,"4",42,14,56,0,332,22,15,13,15,15,39,25,250,332,27,"1",0,1,4,0,17,0,1,0,0,14,0,1,0,0,12,0,0,3,1,11
"0634410","063441001276","1","1",21.5,"3",37,6,43,0,393,86,103,112,92,138,57,28,146,372,18.3,"1",1,32,13,3,27,1,35,11,6,42,0,42,17,6,45,1,29,16,13,32
"0634410","063441003976","1","1",68.2,"3",330,57,387,0,993,288,295,239,171,556,153,257,20,992,14.6,"1",3,154,45,81,4,1,166,38,84,6,0,122,51,60,6,2,114,19,32,4
"0634410","063441005581","1","1",110.8,"3",481,196,677,4,2404,726,541,664,473,1768,147,122,347,2395,21.7,"1",5,512,48,46,109,2,397,26,27,86,4,489,54,33,84,0,370,19,16,68
"0634410","063441005587","1","1",56,"3",404,54,458,2,951,259,263,271,158,429,255,220,37,947,17,"1",3,99,78,66,11,0,113,82,57,10,2,119,71,68,10,1,98,24,29,6
"0634410","063441005602","4","1",13,"3",128,14,142,0,289,25,62,132,70,87,98,82,15,284,22.2,"1",1,8,9,5,1,0,21,19,16,4,1,38,46,41,5,0,20,24,20,5
"0634410","063441005603","1","2",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0634410","063441005608","1","2",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0634410","063441005612","1","1",88.2,"3",755,143,898,6,1738,566,461,431,280,1202,207,233,82,1732,19.7,"1",1,338,91,101,32,4,307,55,68,27,3,327,44,40,15,0,230,17,24,8
"0634410","063441005617","1","1",109.2,"3",520,72,592,2,2275,645,522,593,515,1597,106,185,359,2254,20.8,"1",1,411,32,83,106,2,354,29,36,96,1,444,26,43,77,3,388,19,23,80
"0634410","063441005627","1","1",54.4,"3",334,41,375,18,1003,269,284,233,217,354,271,284,77,989,18.4,"1",1,85,67,100,14,0,86,81,91,24,2,82,62,57,23,0,101,61,36,16
