        Common Core of Data Public Education Agency Universe 1997-98
                                (LRECL=1030)

             (*) Fields have one implied decimal place.

	     (+) Fields represent sub-fields of the fields immediately 
	      preceding them.  (These sub-fields may not be present 
	      as fields in the SAS data files.)
                                    
**Please Note: "FIPS" stands for Federal Information Processing Standard (see State Codes
  and Abbreviations in the General Documentation)

The file contains data for school year 1997-98 sorted by the NCES assigned local
education agency identification code (LEAID).

Variable     Field	Record	     Data
 name	     length	position     type	Description

IWH9U97		1	952-952		A	D/O WHITE-9TH-UNKN ADJ FLAG
IUK9M97		1	953-953		A	D/O UNKN RACE-9TH-MALE ADJ FLAG
IUK9F97		1	954-954		A	D/O UNKN RACE-9TH-FEM ADJ FLAG
IUK9U97		1	955-955		A	D/O UNKN RACE-9TH-UNKN SEX ADJ FLAG
IAM10M97	1	956-956		A	D/O AMER IND/ALAS NAT-10TH-MALE ADJ FLAG
IAM10F97	1	957-957		A	D/O AMER IND/ALAS NAT-10TH-FEM ADJ FLAG
IAM10U97	1	958-958		A	D/O AMER IND/ALAS NAT-10TH-UNKN ADJ FLAG
IAS10M97	1	959-959		A	D/O ASIAN/PAC ISL-10TH-MALE ADJ FLAG
IAS10F97	1	960-960		A	D/O ASIAN/PAC ISL-10TH-FEM ADJ FLAG
IAS10U97	1	961-961		A	D/O ASIAN/PAC ISL-10TH-UNKN ADJ FLAG
IHI10M97	1	962-962		A	D/O HISPANIC-10TH-MALE ADJ FLAG
IHI10F97	1	963-963		A	D/O HISPANIC-10TH-FEM ADJ FLAG
IHI10U97	1	964-964		A	D/O HISPANIC-10TH-UNKN ADJ FLAG
IBL10M97	1	965-965		A	D/O BLACK-10TH-MALE ADJ FLAG
IBL10F97	1	966-966		A	D/O BLACK-10TH-FEM ADJ FLAG
IBL10U97	1	967-967		A	D/O BLACK-10TH-UNKN ADJ FLAG
IWH10M97	1	968-968		A	D/O WHITE-10TH-MALE ADJ FLAG
IWH10F97	1	969-969		A	D/O WHITE-10TH-FEM ADJ FLAG
IWH10U97	1	970-970		A	D/O WHITE-10TH-UNKN ADJ FLAG
IUK10M97	1	971-971		A	D/O UNKN RACE-10TH-MALE ADJ FLAG
IUK10F97	1	972-972		A	D/O UNKN RACE-10TH-FEM ADJ FLAG
IUK10U97	1	973-973		A	D/O UNKN RACE-10TH-UNKN SEX ADJ FLAG
IAM11M97	1	974-974		A	D/O AMER IND/ALAS NAT-11TH-MALE ADJ FLAG
IAM11F97	1	975-975		A	D/O AMER IND/ALAS NAT-11TH-FEM ADJ FLAG
IAM11U97	1	976-976		A	D/O AMER IND/ALAS NAT-11TH-UNKN ADJ FLAG
IAS11M97	1	977-977		A	D/O ASIAN/PAC ISL-11TH-MALE ADJ FLAG
IAS11F97	1	978-978		A	D/O ASIAN/PAC ISL-11TH-FEM ADJ FLAG
IAS11U97	1	979-979		A	D/O ASIAN/PAC ISL-11TH-UNKN ADJ FLAG
IHI11M97	1	980-980		A	D/O HISPANIC-11TH-MALE ADJ FLAG
IHI11F97	1	981-981		A	D/O HISPANIC-11TH-FEM ADJ FLAG
IHI11U97	1	982-982		A	D/O HISPANIC-11TH-UNKN ADJ FLAG
IBL11M97	1	983-983		A	D/O BLACK-11TH-MALE ADJ FLAG
IBL11F97	1	984-984		A	D/O BLACK-11TH-FEM ADJ FLAG
IBL11U97	1	985-985		A	D/O BLACK-11TH-UNKN ADJ FLAG
IWH11M97	1	986-986		A	D/O WHITE-11TH-MALE ADJ FLAG
IWH11F97	1	987-987		A	D/O WHITE-11TH-FEM ADJ FLAG
IWH11U97	1	988-988		A	D/O WHITE-11TH-UNKN ADJ FLAG
IUK11M97	1	989-989		A	D/O UNKN RACE-11TH-MALE ADJ FLAG
IUK11F97	1	990-990		A	D/O UNKN RACE-11TH-FEM ADJ FLAG
IUK11U97	1	991-991		A	D/O UNKN RACE-11TH-UNKN SEX ADJ FLAG
IAM12M97	1	992-992		A	D/O AMER IND/ALAS NAT-12TH-MALE ADJ FLAG
IAM12F97	1	993-993		A	D/O AMER IND/ALAS NAT-12TH-FEM ADJ FLAG
IAM12U97	1	994-994		A	D/O AMER IND/ALAS NAT-12TH-UNKN ADJ FLAG
IAS12M97	1	995-995		A	D/O ASIAN/PAC ISL-12TH-MALE ADJ FLAG
IAS12F97	1	996-996		A	D/O ASIAN/PAC ISL-12TH-FEM ADJ FLAG
IAS12U97	1	997-997		A	D/O ASIAN/PAC ISL-12TH-UNKN ADJ FLAG
IHI12M97	1	998-998		A	D/O HISPANIC-12TH-MALE ADJ FLAG
IHI12F97	1	999-999		A	D/O HISPANIC-12TH-FEM ADJ FLAG
IHI12U97	1	1000-1000	A	D/O HISPANIC-12TH-UNKN ADJ FLAG
IBL12M97	1	1001-1001	A	D/O BLACK-12TH-MALE ADJ FLAG
IBL12F97	1	1002-1002	A	D/O BLACK-12TH-FEM ADJ FLAG
IBL12U97	1	1003-1003	A	D/O BLACK-12TH-UNKN ADJ FLAG
IWH12M97	1	1004-1004	A	D/O WHITE-12TH-MALE ADJ FLAG
IWH12F97	1	1005-1005	A	D/O WHITE-12TH-FEM ADJ FLAG
IWH12U97	1	1006-1006	A	D/O WHITE-12TH-UNKN ADJ FLAG
IUK12M97	1	1007-1007	A	D/O UNKN RACE-12TH-MALE ADJ FLAG
IUK12F97	1	1008-1008	A	D/O UNKN RACE-12TH-FEM ADJ FLAG
IUK12U97	1	1009-1009	A	D/O UNKN RACE-12TH-UNKN SEX ADJ FLAG
IPKTCH97	1	1010-1010	A	PREKINDERGARTEN TEACHERS ADJ FLAG
IKGTCH97	1	1011-1011	A	KINDERGARTEN TEACHERS ADJ FLAG
IELTCH97	1	1012-1012	A	ELEMENTARY TEACHERS ADJ FLAG
ISETCH97	1	1013-1013	A	SECONDARY TEACHERS ADJ FLAG
IUGTCH97	1	1014-1014	A	UNGRADED TEACHERS ADJ FLAG
ITOTCH97	1	1015-1015	A	TOTAL FTE TEACHERS ADJ FLAG
IAIDES97	1	1016-1016	A	INSTRUCTIONAL AIDES ADJ FLAG
ICOSUP97	1	1017-1017	A	INSTRUCT COORDINATORS/SUPER ADJ FLAG
IELGUI97	1	1018-1018	A	ELEMENTARY GUIDANCE COUNSELOR ADJ FLAG
ISEGUI97	1	1019-1019	A	SECONDARY GUIDANCE COUNSELOR ADJ FLAG
ITOGUI97	1	1020-1020	A	TOTAL GUIDANCE COUNSELOR ADJ FLAG
ILISPE97	1	1021-1021	A	LIBRARIAN/MEDIA SPECIALIST ADJ FLAG
ILISUP97	1	1022-1022	A	LIBRARY MEDIA SUPPORT STAFF ADJ FLAG
ILEADM97	1	1023-1023	A	LEA ADMINISTRATOR ADJ FLAG
ILESUP97	1	1024-1024	A	LEA ADMIN SUPPORT STAFF ADJ FLAG
ISCADM97	1	1025-1025	A	SCHOOL ADMIN ADJ FLAG
ISCSUP97	1	1026-1026	A	SCHOOL ADMIN SUPPORT STAFF ADJ FLAG
ISTSUP97	1	1027-1027	A	STUDENT SUPPORT SERV STAFF ADJ FLAG
IOTSUP97	1	1028-1028	A	ALL OTHER SUPPORT STAFF ADJ FLAG
ISCH97		1	1029-1029	A	NUMBER OF SCHOOLS ADJ FLAG
ITEACH97	1	1030-1030	A	NUMBER OF TEACHERS ADJ FLAG
				



